entry_id,player_id,number,tier,season,team,sport,league,role,signature_stat,stat_label,stat_weight,fun_fact,verification_status,source_id,notes
bc-0000,christian-gonzalez,0,ACTIVE,2025-26,New England Patriots,Football,NFL,CB,,,,Colorado / Oregon,verified,nfl,
bc-0001,jayson-tatum,0,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,F,,,,Duke,verified,nba,
bc-0002,jeremy-swayman,1,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,G,,,,Maine (NCAA),verified,nhl,
bc-0003,harold-landry-iii,2,ACTIVE,2025-26,New England Patriots,Football,NFL,LB,,,,Boston College,verified,nfl,
bc-0004,i-kiner-falefa,2,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SS,,,,Mid-Pacific Institute (HI),verified,mlb,
bc-0005,c-rafaela,3,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,CF,,,,Curaçao,verified,mlb,
bc-0006,demario-douglas,3,ACTIVE,2025-26,New England Patriots,Football,NFL,WR,,,,Liberty,verified,nfl,
bc-0007,nikola-vucevic,4,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,C,,,,USC,verified,nba,
bc-0008,mason-lohrei,6,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,D,,,,Ohio State (NCAA),verified,nhl,
bc-0009,carlton-davis-iii,7,ACTIVE,2025-26,New England Patriots,Football,NFL,CB,,,,Auburn,verified,nfl,
bc-0010,jaylen-brown,7,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,G,,,,California,verified,nba,
bc-0011,m-yoshida,7,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,LF,,,,NPB / Aoyama Gakuin Univ.,verified,mlb,
bc-0012,john-tonje,8,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,G,,,,Colorado State / Missouri,verified,nba,
bc-0013,stefon-diggs,8,ACTIVE,2025-26,New England Patriots,Football,NFL,WR,,,,Maryland,verified,nfl, [Released March 11 2026 — was on roster for 2025 season]
bc-0014,derrick-white,9,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,G,,,,Colorado / UCCS,verified,nba,
bc-0015,kayshon-boutte,9,ACTIVE,2025-26,New England Patriots,Football,NFL,WR,,,,LSU,verified,nfl,
bc-0016,drake-maye,10,ACTIVE,2025-26,New England Patriots,Football,NFL,QB,,,,North Carolina,verified,nfl,
bc-0017,t-story,10,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,SS,,,,Irving HS (TX),verified,mlb,
bc-0018,casey-mittelstadt,11,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,C,,,,Minnesota (NCAA),verified,nhl,
bc-0019,joshua-dobbs,11,ACTIVE,2025-26,New England Patriots,Football,NFL,QB,,,,Tennessee,verified,nfl,
bc-0020,m-mayer,11,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,3B,,,,Eastlake HS (CA),verified,mlb,
bc-0021,payton-pritchard,11,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,G,,,,Oregon,verified,nba,
bc-0022,c-wong,12,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,C,,,,Houston,verified,mlb,
bc-0023,mack-hollins,13,ACTIVE,2025-26,New England Patriots,Football,NFL,WR,,,,North Carolina,verified,nfl,
bc-0024,ron-harper-jr,13,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,G,,,,Rutgers,verified,nba,
bc-0025,robert-spillane,14,ACTIVE,2025-26,New England Patriots,Football,NFL,LB,,,,Western Michigan,verified,nfl,
bc-0026,marte-mapu,15,ACTIVE,2025-26,New England Patriots,Football,NFL,LB,,,,Sacramento State,verified,nfl,
bc-0027,j-duran,16,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,LF,,,,Long Beach State,verified,mlb,
bc-0028,tommy-devito,16,ACTIVE,2025-26,New England Patriots,Football,NFL,QB,,,,Syracuse / Illinois,verified,nfl,
bc-0029,bryce-baringer,17,ACTIVE,2025-26,New England Patriots,Football,NFL,P,,,,Michigan State,verified,nfl,
bc-0030,c-durbin,17,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,3B,,,,Washington University in St. Louis,verified,mlb,
bc-0031,kyle-williams,18,ACTIVE,2025-26,New England Patriots,Football,NFL,WR,,,,UNLV,verified,nfl,
bc-0032,n-eaton,18,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,3B,,,,VMI,verified,mlb,
bc-0033,pavel-zacha,18,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,C,,,,Sarnia Sting (OHL),verified,nhl,
bc-0034,kobee-minor,19,ACTIVE,2025-26,New England Patriots,Football,NFL,DB,,,,Texas Tech,verified,nfl,
bc-0035,r-anthony,19,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,RF,,,,Marjory Stoneman Douglas HS (FL),verified,mlb,
bc-0036,henri-jokiharju,20,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,D,,,,Portland Winterhawks (WHL),verified,nhl,
bc-0037,n-sogard,20,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,1B,,,,Loyola Marymount,verified,mlb,
bc-0038,alex-steeves,21,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,C,,,,Notre Dame (NCAA),verified,nhl,
bc-0039,jaylinn-hawkins,21,ACTIVE,2025-26,New England Patriots,Football,NFL,S,,,,California,verified,nfl,
bc-0040,charles-woods,22,ACTIVE,2025-26,New England Patriots,Football,NFL,CB,,,,West Virginia,verified,nfl,
bc-0041,g-whitlock,22,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,RP,,,,UAB,verified,mlb,
bc-0042,r-gonzalez,23,ACTIVE,2025-26,Boston Red Sox,Baseball,MLB,1B,,,,Miami,verified,mlb,
bc-0043,dell-pettus,24,ACTIVE,2025-26,New England Patriots,Football,NFL,S,,,,Troy,verified,nfl,
bc-0044,marcus-jones,25,ACTIVE,2025-26,New England Patriots,Football,NFL,CB,,,,Houston,verified,nfl,
bc-0045,andrew-peeke,26,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,D,,,,Notre Dame (NCAA),verified,nhl,
bc-0046,hampus-lindholm,27,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,D,,,,Rögle BK (Sweden),verified,nhl,
bc-0047,jordan-walsh,27,ACTIVE,2025-26,Boston Celtics,Basketball,NBA,G,,,,Arkansas,verified,nba,
bc-0048,alex-austin,28,ACTIVE,2025-26,New England Patriots,Football,NFL,CB,,,,Oregon State,verified,nfl,
bc-0049,elias-lindholm,28,ACTIVE,2025-26,Boston Bruins,Hockey,NHL,C,,,,Brynäs IF (Sweden),verified,nhl,
